Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                   ,Exchange ,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size  ,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
ETST  ,-14.57     ,+158.45              ,1.70      ,44289     ,--       ,78.53M    ,12             ,+2.99                     ,39.58     ,2.03      ,0.01 ,-87.72      ,--                     ,-19.08            ,22.75                  ,2.10                   ,Pharmaceuticals                            ,OTC      ,EARTH SCIENCE TECH INC   ,Pharmaceuticals                           ,--      ,1.99          ,1.70  ,100     ,22030        ,36395       ,201.04                  ,121.69                 ,No        ,1.99  ,1.99  ,1.76  ,--                    ,58301         ,74373      ,75.97                    ,59.55                 ,No                ,Health Care               ,--            ,2.00      ,1.70  ,200       ,58374       ,249.12                    ,75.87                  ,42.00K         ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-8.77M    ,80.00K ,-8.77M  ,39.46M            ,-0.05   ,-0.24     ,-1.17     ,--          ,-0.01     ,--        ,-0.01     ,--                          ,-10925.32 ,--                ,-0.30  ,-0.58                  ,-4.65                      ,+1.1039                ,+26.84                  ,+61.53               ,0.00                 ,+209.92              ,+4.22     ,2.09         ,3.69     ,1.96                   ,1.56      ,0.26     ,100.00                  ,18.43                        ,-15.00  ,-0.01  ,+1.25                  ,-0.13                 ,-0.2232                ,+123.18                  ,+332.61              ,+542.86              ,-675.46           ,0               ,2.10      ,3.95    ,1.90        ,1.56    ,-1.44                ,0.29           ,-0.29    ,-0.50 ,+0.058                  ,-0.0975                  ,-10.04                   ,+0.4232               ,+441.83              ,0.00                 ,+500.00              ,-319.70           ,3.30       ,3.95      ,1.85     ,0.34   ,0.29         ,--               ,0.00          ,-1.78             ,--                   ,--                       ,128.68          ,--           ,--                   ,978.26   ,2.02      ,1.67      ,0.95       ,2.03      ,1.32       ,47.57                ,52.36     ,20.25                   ,12.28,2.60                ,-1.16                     ,1.35           ,1.46      ,0.82       ,2.01      ,1.73      ,1.22       ,50.56     ,54.40                ,1.62          ,30.99,0.09       ,1.24           ,1.63                      ,2.10      ,1.05       ,1.63      ,53.42                ,19.60                   ,35.71   ,1.59                   ,-0.55          ,1.53                      ,-122.93   , 
XELB  ,-14.29     ,-1.33                ,2.70      ,62909     ,83.96    ,63.56M    ,4              ,+1.25                     ,19.88     ,3.67      ,-0.29,-100.00     ,--                     ,-47.46            ,20.13                  ,3.97                   ,Media                                      ,NASDAQ   ,XCEL BRANDS INC          ,Advertising                               ,--      ,3.40          ,2.70  ,900     ,16409        ,10458       ,383.38                  ,601.54                 ,No        ,3.15  ,3.15  ,2.80  ,14.72                 ,13692         ,13040      ,459.46                   ,482.43                ,No                ,Consumer Discretionary    ,--            ,3.39      ,2.70  ,1200      ,12602       ,302.58                    ,499.20                 ,55.00K         ,No                  ,NC ,--       ,--                 ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,2.57M     ,27.72M ,2.57M   ,18.72M            ,0.04    ,0.15      ,-0.09     ,0.28        ,0.16      ,0.57      ,-0.15     ,15.00                       ,9.29      ,342.23            ,-0.69  ,-1.75                  ,-14.68                     ,-1.1677                ,-18.91                  ,-47.14               ,+205.79              ,-20.83               ,+2.04     ,3.55         ,4.84     ,3.60                   ,3.35      ,3.50     ,100.00                  ,38.12                        ,-20.35  ,-0.24  ,-1.62                  ,-0.27                 ,-0.7427                ,-25.62                   ,-22.84               ,-4.04                ,+0.75             ,0               ,3.96      ,4.84    ,3.35        ,3.35    ,0.80                 ,0.45           ,-0.45    ,-7.08 ,+0.042                  ,-0.5835                  ,-17.97                   ,-0.7906               ,-36.64               ,-24.80               ,-4.23                ,+0.49             ,4.84       ,6.75      ,3.35     ,3.35   ,0.45         ,6.00             ,0.00          ,3.63              ,--                   ,22.02                    ,--              ,31.83        ,12.13                ,2.29     ,3.56      ,4.13      ,4.51       ,3.77      ,4.36       ,30.80                ,37.61     ,31.08                   ,--   ,5.08                ,-1.36                     ,-1.50          ,4.18      ,4.80       ,3.73      ,4.09      ,4.46       ,33.23     ,41.83                ,33.75         ,2.35 ,-0.18      ,-1.64          ,-0.56                     ,3.97      ,4.45       ,4.15      ,39.32                ,15.40                   ,6.59    ,2.86                   ,-1.95          ,-1.06                     ,-133.77   , 
DYNT  ,-14.06     ,-9.37                ,2.7501    ,22901     ,--       ,8.81M     ,7              ,0.00                      ,42.46     ,2.90      ,0.06 ,-95.22      ,0.02                   ,4.75              ,29.55                  ,2.90                   ,Health Care Equipment & Supplies           ,NSC      ,DYNATRONICS CORP         ,Health Care Equipment                     ,--      ,2.90          ,2.65  ,700     ,1170         ,7513        ,1957.35                 ,304.82                 ,No        ,3.20  ,3.20  ,2.80  ,11.54                 ,9307          ,7042       ,246.06                   ,325.21                ,No                ,Health Care               ,--            ,2.90      ,2.75  ,500       ,10559       ,783.74                    ,216.89                 ,1.00K          ,No                  ,NC ,--       ,B-                 ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,-1.90M    ,30.41M ,-1.90M  ,3.04M             ,-0.98   ,-0.84     ,-1.73     ,--          ,-0.11     ,-0.02     ,-0.01     ,--                          ,-6.25     ,208.30            ,-0.1499,-0.0999                ,+0.03                      ,+0.2961                ,+7.38                   ,+3.45                ,-25.00               ,+3.67                ,+0.52     ,3.10         ,3.35     ,0.15                   ,2.47      ,2.29     ,99.98                   ,7.49                         ,-5.17   ,+0.30  ,+0.4001                ,-0.10                 ,+0.0327                ,+11.37                   ,+23.40               ,+9.80                ,-71.32            ,0               ,3.10      ,3.35    ,2.90        ,2.47    ,-0.46                ,0.4499         ,-0.4499  ,+10.34,0.00                    ,+0.001                   ,+1.14                    ,+0.1994               ,-2.91                ,+9.09                ,+6.87                ,-11.90            ,3.35       ,3.35      ,2.90     ,2.29   ,0.45         ,93.00            ,-0.0001       ,-0.13             ,--                   ,--                       ,4.74            ,68.62        ,--                   ,0.29     ,2.95      ,2.71      ,2.61       ,2.88      ,2.69       ,50.14                ,50.79     ,18.63                   ,4.78 ,3.17                ,0.25                      ,0.35           ,2.65      ,2.66       ,2.96      ,2.76      ,2.69       ,50.22     ,52.95                ,25.91         ,25.93,0.08       ,0.11           ,0.45                      ,2.90      ,2.63       ,2.74      ,53.53                ,31.66                   ,33.93   ,2.63                   ,0.15           ,0.40                      ,7.79      , 
OMAG  ,-13.82     ,-72.60               ,0.53      ,20246     ,--       ,10.86M    ,3              ,-14.14                    ,40.72     ,0.61      ,-0.02,-60.71      ,56.41                  ,-48.71            ,14.35                  ,0.63                   ,Real Estate Management & Development       ,OTC      ,OMAGINE INC              ,Real Estate Development                   ,--      ,0.51          ,0.451 ,1000    ,4652         ,4805        ,435.21                  ,421.35                 ,No        ,0.615 ,0.615 ,0.53  ,0.76                  ,7442          ,6662       ,272.05                   ,303.90                ,No                ,Real Estate               ,--            ,0.51      ,0.42  ,10000     ,7006        ,335.14                    ,288.98                 ,2.00K          ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-5.87M    ,--     ,-5.87M  ,21.29M            ,-0.15   ,-0.32     ,-0.32     ,--          ,-0.18     ,-0.20     ,-0.14     ,--                          ,--        ,--                ,+0.02  ,-0.14                  ,-18.98                     ,-0.2983                ,-19.18                  ,-71.58               ,-59.27               ,-34.62               ,+1.33     ,0.65         ,0.74     ,0.665                  ,0.51      ,0.51     ,43.59                   ,14.72                        ,+3.92   ,+0.105 ,-0.10                  ,-0.23                 ,-0.1309                ,-36.91                   ,-17.21               ,-17.65               ,-0.73             ,0               ,0.70      ,0.74    ,0.51        ,0.51    ,0.09                 ,0.085          ,-0.085   ,+20.59,-0.084                  ,-0.1195                  ,-20.43                   ,-0.121                ,-50.33               ,-68.67               ,-30.00               ,-0.44             ,0.74       ,1.28      ,0.51     ,0.51   ,0.195        ,--               ,-0.11         ,-0.15             ,--                   ,--                       ,0.03            ,--           ,--                   ,--       ,0.61      ,0.65      ,0.78       ,0.62      ,0.75       ,38.30                ,44.87     ,30.39                   ,39.29,0.78                ,-0.17                     ,-0.12          ,0.67      ,0.90       ,0.61      ,0.66      ,0.78       ,44.25     ,44.35                ,14.32         ,32.39,-0.01      ,-0.08          ,-0.24                     ,0.63      ,0.76       ,0.68      ,43.39                ,22.77                   ,44.54   ,0.48                   ,-0.18          ,-0.10                     ,-67.82    , 
GLA   ,-13.59     ,-88.10               ,5.055     ,79292     ,--       ,22.94M    ,24             ,-8.75                     ,32.83     ,6.67      ,-0.32,-98.99      ,3.57                   ,-8.80             ,17.99                  ,6.85                   ,Technology Hardware Storage & Peripherals  ,NYSE     ,GLASSBRIDGE ENTERPRISES I,Technology Hardware Storage & Peripherals ,--      ,6.16          ,5.05  ,500     ,133267       ,24822       ,59.50                   ,319.44                 ,No        ,5.85  ,6.00  ,5.08  ,37.06                 ,60294         ,32217      ,131.51                   ,246.12                ,No                ,Information Technology    ,--            ,6.16      ,5.02  ,100       ,56424       ,130.12                    ,140.53                 ,966.00K        ,No                  ,NC ,--       ,C                  ,--             ,--                    ,100.00          ,--                     ,--              ,1                 ,3.00              ,-194.00M  ,529.20M,-194.00M,3.72M             ,-30.59  ,-48.40    ,-27.98    ,-0.60       ,-10.96    ,-90.94    ,-12.39    ,15.00                       ,-36.66    ,882.00            ,-1.105 ,-2.455                 ,-10.05                     ,-1.2592                ,-18.03                  ,-82.46               ,-87.95               ,-57.73               ,+3.20     ,7.19         ,9.00     ,12.10                  ,5.71      ,4.70     ,96.43                   ,30.87                        ,-17.94  ,-0.31  ,-3.325                 ,-0.30                 ,-0.9173                ,-16.97                   ,-24.88               ,-24.84               ,-593.73           ,1               ,8.48      ,9.00    ,6.02        ,5.71    ,-0.32                ,0.945          ,-0.795   ,-5.03 ,-0.591                  ,-0.6883                  ,-12.96                   ,-1.3554               ,-53.75               ,-80.42               ,-10.37               ,-62.66            ,9.00       ,18.10     ,6.02     ,5.71   ,0.98         ,2.00             ,-0.035        ,-0.01             ,--                   ,--                       ,1.40            ,--           ,--                   ,0.04     ,6.56      ,7.43      ,7.46       ,6.79      ,7.78       ,41.03                ,42.36     ,27.39                   ,1.01 ,8.37                ,-1.54                     ,-4.31          ,7.56      ,8.94       ,6.62      ,7.27      ,8.04       ,40.06     ,45.11                ,11.10         ,20.99,-0.26      ,-3.05          ,-3.14                     ,6.85      ,7.67       ,7.37      ,44.12                ,21.92                   ,38.08   ,5.33                   ,-3.25          ,-1.92                     ,-95.85    , 
PRRE  ,-12.86     ,0.00                 ,0.6884    ,32092     ,--       ,124.80M   ,5              ,+5.03                     ,37.59     ,0.82      ,-0.11,-62.24      ,27.43                  ,-12.26            ,29.58                  ,0.84                   ,Real Estate Management & Development       ,OTC      ,PRAETORIAN PROPERTY INC  ,Real Estate Operating Companies           ,--      ,0.80          ,0.6662,1000    ,15441        ,66693       ,207.84                  ,48.12                  ,No        ,0.79  ,0.79  ,0.7149,--                    ,48504         ,102114     ,66.16                    ,31.43                 ,No                ,Real Estate               ,--            ,0.80      ,0.65  ,1500      ,53939       ,159.51                    ,59.50                  ,11.00K         ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-430.00K  ,--     ,-430.00K,156M              ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,-3.98     ,5362.88           ,-0.1116,-0.2916                ,-5.09                      ,+0.224                 ,-22.01                  ,+233.33              ,0.00                 ,+3838.60             ,+37.46    ,0.80         ,1.59     ,1.36                   ,0.56      ,0.02     ,72.57                   ,12.32                        ,-13.95  ,-0.01  ,+0.3984                ,-0.09                 ,-0.1159                ,+38.89                   ,+172.57              ,+328.29              ,+187.41           ,0               ,0.85      ,2.15    ,0.68        ,0.56    ,-0.63                ,0.1016         ,-0.1016  ,-1.25 ,+0.0383                 ,-0.0429                  ,-12.66                   ,-0.2257               ,+2066.85             ,-94.19               ,+3215.32             ,-4.25             ,1.43       ,2.15      ,0.68     ,0.29   ,0.14         ,--               ,-0.0384       ,-7.42             ,--                   ,--                       ,--              ,-2212.12     ,--                   ,--       ,0.75      ,1.08      ,0.63       ,0.87      ,0.75       ,43.96                ,49.19     ,23.71                   ,37.76,1.15                ,-0.37                     ,0.46           ,0.96      ,0.39       ,0.77      ,0.91      ,0.70       ,46.47     ,50.49                ,32.32         ,39.80,-0.11      ,-0.40          ,0.52                      ,0.84      ,0.69       ,0.88      ,48.33                ,12.13                   ,42.08   ,0.54                   ,-0.66          ,-0.15                     ,-53.33    , 
SRCF  ,-12.73     ,0.00                 ,0.48      ,280       ,--       ,--        ,1              ,-41.18                    ,37.06     ,0.62      ,-0.11,-64.91      ,--                     ,-5.11             ,--                     ,0.71                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.45  ,1000    ,7055         ,6027        ,3.97                    ,4.65                   ,No        ,0.55  ,0.55  ,0.55  ,--                    ,5975          ,5615       ,4.69                     ,4.99                  ,No                ,--                        ,--            ,0.28      ,0.48  ,2500      ,5573        ,16.04                     ,5.02                   ,3.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,+0.20  ,-0.33                  ,-60.70                     ,-0.2563                ,-64.25                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,1.04     ,0.70                   ,0.28      ,0.05     ,100.00                  ,37.36                        ,+71.43  ,+0.27  ,-0.14                  ,-0.16                 ,-0.4805                ,-47.79                   ,0.00                 ,0.00                 ,0.00              ,0               ,0.57      ,1.25    ,--          ,0.28    ,-0.43                ,0.07           ,-0.07    ,+96.43,-0.196                  ,-0.4325                  ,-63.18                   ,-0.5032               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0.91       ,1.25      ,0.28     ,0.28   ,0.07         ,--               ,0.00          ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.58      ,0.77      ,0.58       ,0.66      ,0.65       ,13.99                ,47.04     ,48.33                   ,35.09,1.05                ,-0.74                     ,-0.17          ,0.75      ,0.43       ,0.66      ,0.72      ,0.62       ,43.57     ,43.17                ,59.11         ,11.70,-0.06      ,-0.17          ,-0.34                     ,0.71      ,0.68       ,0.71      ,36.74                ,12.42                   ,4.82    ,0.38                   ,-0.42          ,-0.33                     ,-3.65     , 
HISP  ,-12.50     ,0.00                 ,0.105     ,10500     ,--       ,--        ,1              ,+9.24                     ,36.92     ,0.15      ,-0.05,-95.45      ,25.00                  ,-2.53             ,9.33                   ,0.17                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.1002,22500   ,19931        ,9458        ,52.68                   ,111.02                 ,No        ,0.12  ,0.12  ,0.12  ,--                    ,13391         ,10661      ,78.41                    ,98.49                 ,No                ,--                        ,--            ,0.13      ,0.10  ,7600      ,12564       ,700.00                    ,83.57                  ,2.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.025 ,-0.045                 ,-24.31                     ,-0.4844                ,-39.93                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,0.41     ,1.38                   ,0.10      ,0.14     ,75.00                   ,41.27                        ,-19.23  ,-0.01  ,-0.215                 ,-0.19                 ,-0.0568                ,-78.84                   ,0.00                 ,0.00                 ,0.00              ,0               ,0.21      ,0.41    ,--          ,0.10    ,0.04                 ,0.015          ,-0.015   ,-7.69 ,+0.011                  ,-0.0418                  ,-30.41                   ,-0.0864               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0.35       ,1.50      ,0.10     ,0.10   ,0.02         ,--               ,-0.005        ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.13      ,0.27      ,0.58       ,0.17      ,--         ,40.75                ,--        ,24.31                   ,4.55 ,0.29                ,-0.12                     ,-0.29          ,0.29      ,1.17       ,0.15      ,0.29      ,--         ,41.09     ,50.00                ,12.06         ,20.96,-0.05      ,-0.20          ,-0.19                     ,0.17      ,0.51       ,0.33      ,41.90                ,19.07                   ,20.88   ,0.05                   ,-0.15          ,-0.27                     ,-4.92     , 
SUNEQ ,-12.40     ,-99.53               ,0.0841    ,4262890   ,--       ,35.24M    ,23             ,-0.90                     ,47.19     ,0.09      ,--   ,-64.75      ,17.93                  ,-31.41            ,31.13                  ,0.08                   ,Semiconductors & Semiconductor Equipment   ,OTC      ,SUNEDISON INC            ,Semiconductor Equipment                   ,--      ,0.10          ,0.0841,10000   ,2941845      ,4547855     ,144.91                  ,93.73                  ,No        ,0.096 ,0.096 ,0.085 ,0.17                  ,2499023       ,2618111    ,170.58                   ,162.82                ,No                ,Information Technology    ,--            ,0.09      ,0.0815,10000     ,2401395     ,456.87                    ,177.52                 ,287.00K        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,1                 ,3.00              ,-1.27B    ,2.48B  ,-1.27B  ,368.84M           ,-4.03   ,-4.40     ,-2.46     ,-2.47       ,-0.66     ,-6.68     ,0.15      ,20.00                       ,-47.51    ,342.20            ,-0.0059,+0.0041                ,+7.52                      ,-0.0027                ,+8.72                   ,-99.60               ,-97.66               ,-46.52               ,+1.56     ,0.09         ,0.11     ,2.434                  ,0.07      ,0.04     ,82.07                   ,1.00                         ,-6.56   ,+0.006 ,+0.0141                ,-0.16                 ,+0.0068                ,-2.94                    ,+35.34               ,-33.65               ,-144.92           ,0               ,0.11      ,0.13    ,0.09        ,0.07    ,-0.0415              ,0.0119         ,-0.0119  ,+6.67 ,-0.0008                 ,+0.0063                  ,+8.20                    ,+0.0072               ,-95.34               ,-97.86               ,+54.28               ,-8.36             ,0.11       ,2.53      ,0.09     ,0.06   ,0.0145       ,--               ,-0.0026       ,--                ,--                   ,--                       ,--              ,412.21       ,--                   ,0.01     ,0.09      ,0.08      ,0.10       ,0.09      ,0.12       ,55.15                ,45.47     ,13.17                   ,35.25,0.10                ,0.01                      ,--             ,0.08      ,0.10       ,0.08      ,0.09      ,0.18       ,48.89     ,46.18                ,29.30         ,45.08,--         ,0.01           ,--                        ,0.08      ,0.10       ,0.09      ,51.00                ,24.08                   ,51.14   ,0.07                   ,--             ,0.02                      ,-13827.20 , 
OXPRY ,-12.37     ,0.00                 ,0.34      ,118898    ,--       ,--        ,4              ,-2.99                     ,24.67     ,0.42      ,-0.04,-100.00     ,--                     ,-96.16            ,30.61                  ,0.42                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.33  ,2500    ,5633         ,61934       ,2110.74                 ,191.98                 ,No        ,0.388 ,0.388 ,0.38  ,--                    ,160408        ,127488     ,74.12                    ,93.26                 ,No                ,--                        ,--            ,0.39      ,0.34  ,5000      ,179834      ,743.11                    ,66.12                  ,2.00K          ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.05  ,-0.08                  ,-8.02                      ,-0.2558                ,-24.21                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,0.56     ,0.852                  ,0.39      ,0.22     ,100.00                  ,22.35                        ,-12.82  ,-0.002 ,-0.31                  ,-0.19                 ,-0.0509                ,-39.61                   ,0.00                 ,0.00                 ,0.00              ,0               ,0.44      ,0.72    ,--          ,0.39    ,-0.12                ,0.048          ,-0.048   ,-0.51 ,-0.012                  ,-0.034                   ,-11.55                   ,-0.1246               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0.52       ,1.24      ,0.39     ,0.39   ,0.048        ,--               ,0.00          ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.42      ,0.53      ,0.63       ,0.44      ,--         ,32.49                ,--        ,58.46                   ,--   ,0.48                ,-0.14                     ,-0.28          ,0.55      ,0.59       ,0.42      ,0.51      ,--         ,36.56     ,50.00                ,47.54         ,9.52 ,-0.04      ,-0.25          ,-0.26                     ,0.42      ,0.60       ,0.52      ,39.35                ,20.79                   ,25.40   ,0.37                   ,-0.14          ,-0.24                     ,-1403.64  , 
AEEX  ,-12.32     ,0.00                 ,0.833     ,1700      ,--       ,1.15B     ,1              ,+6.54                     ,37.81     ,0.96      ,-0.04,-40.23      ,--                     ,46.48             ,51.81                  ,0.96                   ,Capital Markets                            ,OTC      ,ASIA EQUITY EXCHANGE GRP ,Financial Exchanges & Data                ,--      ,1.00          ,0.565 ,1000    ,4140         ,6055        ,41.06                   ,28.08                  ,No        ,0.95  ,0.99  ,0.90  ,--                    ,5051          ,4640       ,33.66                    ,36.64                 ,No                ,Financials                ,--            ,1.00      ,0.833 ,7200      ,5260        ,29.82                     ,32.32                  ,3.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,10.00K    ,--     ,10.00K  ,1.15B             ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,2.18      ,41.57             ,-0.167 ,-0.117                 ,+3.93                      ,-0.2429                ,-5.61                   ,0.00                 ,0.00                 ,-83.64               ,0.00      ,1.00         ,1.30     ,5.01                   ,0.57      ,0.20     ,100.00                  ,15.27                        ,-16.70  ,-0.05  ,-0.307                 ,-0.16                 ,+0.0177                ,-19.54                   ,-9.09                ,-54.15               ,0.00              ,1               ,1.00      ,1.30    ,0.90        ,0.57    ,-0.633               ,0.157          ,-0.117   ,-5.00 ,+0.0614                 ,+0.0379                  ,+1.80                    ,-0.0594               ,0.00                 ,0.00                 ,+20.00               ,0.00              ,1.12       ,6.00      ,0.90     ,0.57   ,0.157        ,--               ,0.00          ,-37.36            ,--                   ,--                       ,333333.34       ,--           ,--                   ,--       ,0.97      ,1.06      ,1.27       ,0.98      ,--         ,51.05                ,--        ,43.36                   ,59.77,1.11                ,--                        ,-0.40          ,1.06      ,1.23       ,0.96      ,1.06      ,--         ,45.15     ,50.00                ,65.68         ,84.32,-0.04      ,-0.29          ,-0.05                     ,0.96      ,1.30       ,1.09      ,48.17                ,8.98                    ,86.94   ,0.82                   ,-0.17          ,-0.03                     ,23.52     , 
TENX  ,-12.26     ,-89.47               ,0.5001    ,1048404   ,--       ,15.96M    ,31             ,-4.44                     ,22.28     ,0.65      ,-0.12,-91.02      ,26.73                  ,-39.11            ,28.85                  ,0.68                   ,Biotechnology                              ,NASDAQ   ,TENAX THERAPEUTICS INC   ,Biotechnology                             ,--      ,0.57          ,0.50  ,400     ,1339335      ,819362      ,78.28                   ,127.95                 ,No        ,0.57  ,0.5785,0.5001,17.01                 ,944820        ,1816391    ,110.96                   ,57.72                 ,No                ,Health Care               ,--            ,0.56      ,0.4715,4800      ,1012355     ,62.41                     ,103.56                 ,806.00K        ,No                  ,NC ,--       ,C                  ,50.00          ,--                    ,50.00           ,--                     ,--              ,2                 ,2.00              ,-43.92M   ,--     ,-43.92M ,28.12M            ,-1.56   ,-1.56     ,-0.54     ,-0.29       ,-2.71     ,-6.68     ,-14.07    ,--                          ,--        ,--                ,-0.0599,-0.2199                ,-17.16                     ,-1.0826                ,-54.22                  ,-77.76               ,-98.73               ,-71.13               ,+0.75     ,0.65         ,0.84     ,2.3615                 ,0.54      ,0.42     ,73.27                   ,31.84                        ,-10.70  ,+0.01  ,-1.4999                ,-0.26                 ,-0.1364                ,-65.91                   ,-70.90               ,-62.31               ,-113.26           ,1               ,0.70      ,2.65    ,0.54        ,0.54    ,-0.0515              ,0.0784         ,-0.0699  ,+1.79 ,-0.026                  ,-0.116                   ,-19.58                   ,-0.6633               ,-68.71               ,-87.89               ,-68.78               ,-91.20            ,0.82       ,2.94      ,0.54     ,0.41   ,0.107        ,--               ,-0.0286       ,-0.02             ,--                   ,--                       ,0.94            ,--           ,--                   ,--       ,0.65      ,1.10      ,1.56       ,0.69      ,1.36       ,26.60                ,37.19     ,36.02                   ,8.98 ,0.81                ,-0.22                     ,-1.52          ,1.27      ,1.93       ,0.66      ,1.00      ,1.46       ,34.20     ,37.86                ,42.15         ,5.66 ,-0.13      ,-1.66          ,-1.48                     ,0.68      ,1.46       ,1.09      ,35.31                ,14.66                   ,7.14    ,0.55                   ,-0.27          ,-1.73                     ,-6219.63  , 
